original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
Outland,112.0,1981,56820451,61702020
The Evil Dead,85.0,1981,1242947,104407578
Dragonslayer,108.0,1981,63923007,50108581
Mad Max 2,95.0,1981,7102556,87364398
Pennies from Heaven,108.0,1981,78128120,32569798
Roar,102.0,1981,60371729,7102556
The Fox and the Hound,82.0,1981,42615338,105828089
Wolfen,115.0,1981,60371729,37738456
Clash of the Titans,118.0,1981,53269172,145930288
Heartbeeps,79.0,1981,35512781,7651924
Porky's,94.0,1981,14205112,446496020
The Hand,104.0,1981,23083308,2012637
Friday the 13th Part 2,87.0,1981,4439097,77143620
The Howling,91.0,1981,3551278,63872909
Silent Rage,103.0,1982,14483883,33795728
Lookin' to Get Out,105.0,1982,54716893,3046318
E.T. the Extra-Terrestrial,115.0,1982,33795728,2552270568
The World According to Garp,136.0,1982,54716893,95632809
Pink Floyd: The Wall,95.0,1982,38623689,71596112
Death Wish 2,88.0,1982,6437281,144838836
Sophie's Choice,151.0,1982,38623689,96675095
Creepshow,120.0,1982,25749126,67684009
Conan the Barbarian,129.0,1982,64372816,254639823
Annie,127.0,1982,160932041,183652436
Gandhi,191.0,1982,70810098,250210342
Fast Times at Ridgemont High,90.0,1982,14483883,87202249
48 Hrs.,96.0,1982,38623689,253849399
Star Trek II: The Wrath of Khan,113.0,1982,38623689,311564431
Grease 2,115.0,1982,42486058,48831531
The Best Little Whorehouse in Texas,114.0,1982,112652428,224344534
The Year of Living Dangerously,115.0,1982,19311844,4241064
The Dark Crystal,93.0,1982,48279612,130602791
The Verdict,129.0,1982,51498253,173733380
The Secret of NIMH,82.0,1982,22530485,47203726
Blade Runner,117.0,1982,90121942,106664527
Poltergeist,114.0,1982,34439456,393317908
Warlords of the 21st Century,91.0,1982,3218640,9655922
The Sword and the Sorcerer,100.0,1982,12874563,125859879
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",109.0,1982,2735844,2703658
The Thing,109.0,1982,48279612,63181146
The Man from Snowy River,104.0,1982,11265242,66495262
Friday the 13th Part III,95.0,1982,12874563,118092147
Halloween III: Season of the Witch,98.0,1982,8046602,46348427
Alone in the Dark,93.0,1982,64372816,26323876
First Blood,93.0,1982,48279612,403015364
Tron,96.0,1982,54716893,106215147
Parasite,85.0,1982,2574912,22530485
Firefox,136.0,1982,57935534,227517170
Tootsie,116.0,1982,67591457,570343153
It Came from Hollywood,80.0,1982,16093204,6730297
Rocky III,99.0,1982,54716893,869033021
Valley Girl,99.0,1983,1061442,52597809
The House on Sorority Row,91.0,1983,1288894,32161671
Porky's II: The Next Day,98.0,1983,19712507,102381504
Spacehunter: Adventures in the Forbidden Zone,90.0,1983,45490401,50039441
Jaws 3-D,99.0,1983,62170215,266837764
Rumble Fish,94.0,1983,30326934,7564993
Krull,117.0,1983,81882722,50098457
Psycho II,113.0,1983,15163467,105310279
The Keep,96.0,1983,18196160,11104986
Octopussy,131.0,1983,83399069,568630019
WarGames,114.0,1983,36392321,241304341
Fire and Ice,81.0,1983,3639232,2307524
10 to Midnight,101.0,1983,13707774,21761370
Flashdance,95.0,1983,12130773,281801522
Brainstorm,106.0,1983,45490401,30992489
Twilight Zone: The Movie,101.0,1983,30326934,89315608
Risky Business,98.0,1983,18802699,192702730
Yentl,132.0,1983,36392321,92193880
Never Say Never Again,134.0,1983,109176963,485230949
Joysticks,88.0,1983,909808,11986563
Of Unknown Origin,88.0,1983,12130773,3276734
Cujo,91.0,1983,15163467,64293100
Superman III,125.0,1983,118275044,230031689
The Right Stuff,193.0,1983,81882722,65202908
Curse of the Pink Panther,109.0,1983,33359627,13622816
Sudden Impact,117.0,1983,66719255,205139551
Rock & Rule,77.0,1983,24261547,92130
The Dead Zone,103.0,1983,30326934,62978780
Blue Thunder,109.0,1983,66719255,128323430
Table For Five,121.0,1983,24261547,7398877
Testament,90.0,1983,4549040,6201530
The Man Who Loved Women,110.0,1983,57621175,33359627
Lone Wolf McQuade,107.0,1983,15163467,37097810
Mickey's Christmas Carol,26.0,1983,9098080,63686562
Trading Places,116.0,1983,123127353,274155486
The Man with Two Brains,93.0,1983,30630203,31398803
Losin' It,100.0,1983,21228854,3779163
Something Wicked This Way Comes,95.0,1983,57621175,17153177
Terms of Endearment,132.0,1983,24261547,328815203
Scarface,170.0,1983,75817335,199808106
Videodrome,87.0,1983,18050591,6430641
Return of the Jedi,135.0,1983,98107632,1736823531
National Lampoon's Vacation,98.0,1983,45490401,186206018
The Outsiders,91.0,1983,30326934,102194632
Staying Alive,93.0,1983,66719255,196799574
The Company of Wolves,95.0,1984,5876604,12897190
A Passage to India,163.0,1984,23506419,79885545
Children of the Corn,93.0,1984,2350641,41136233
Indiana Jones and the Temple of Doom,118.0,1984,82272466,978454691
Police Academy,96.0,1984,13222360,429576563
The Muppets Take Manhattan,94.0,1984,23506419,75028678
Razorback,95.0,1984,16160663,2353580
Ghoulies,81.0,1984,2938302,102840583
City Heat,93.0,1984,73457559,112680922
Missing in Action,101.0,1984,4407453,67029761
Firestarter,114.0,1984,44074535,50186695
Top Secret!,90.0,1984,26444721,60112789
Splash,111.0,1984,23506419,205156191
The Bounty,132.0,1984,73457559,25308955
Footloose,107.0,1984,24094079,235168211
Friday the 13th: The Final Chapter,91.0,1984,7639586,96907798
Star Trek III: The Search for Spock,105.0,1984,52889442,255632306
Conan the Destroyer,103.0,1984,52889442,293830237
Starman,115.0,1984,64642652,84459609
The Karate Kid,126.0,1984,23506419,266843569
Bachelor Party,105.0,1984,17629814,112936434
Broadway Danny Rose,84.0,1984,23506419,31147465
Repo Man,92.0,1984,4407453,6758095
Rhinestone,111.0,1984,82272466,62983454
Sixteen Candles,93.0,1984,19098965,69596709
Body Double,114.0,1984,29383023,25862761
Purple Rain,111.0,1984,21155777,200959246
The Last Starfighter,101.0,1984,44074535,84427094
Sheena,117.0,1984,73457559,16978548
Bolero,105.0,1984,20568116,26194616
風の谷のナウシカ,117.0,1984,2938302,9700646
Godzilla 1985,87.0,1984,5876604,12047039
C.H.U.D.,88.0,1984,3672877,10026948
Gremlins,106.0,1984,32321326,449804442
Red Dawn,114.0,1984,12340869,112761752
A Soldier's Story,101.0,1984,17629814,64117715
Streets of Fire,93.0,1984,42605384,23768780
A Nightmare on Elm Street,91.0,1984,5288944,74939971
"Paris, Texas",147.0,1984,5133108,6411337
Thief of Hearts,100.0,1984,26444721,30455222
This Is Spinal Tap,82.0,1984,7345755,13916393
The Killing Fields,141.0,1984,42311554,101959947
Stop Making Sense,88.0,1984,3525962,14629578
Beverly Hills Cop,105.0,1984,44074535,929562744
Romancing the Stone,106.0,1984,29383023,254375412
Best Defense,94.0,1984,52889442,56607282
Birdy,120.0,1984,35259628,4113623
Dune,137.0,1984,117532095,90869028
Amadeus,160.0,1984,52889442,152712474
The Neverending Story,102.0,1984,79334164,59232673
The Cotton Club,127.0,1984,170421537,76186422
Night of the Comet,95.0,1984,8814907,42367152
Ghostbusters,107.0,1984,88149071,867423493
Racing with the Moon,108.0,1984,26444721,17763968
The Woman in Red,87.0,1984,74339050,74362988
The Terminator,108.0,1984,18805135,230278283
The Hotel New Hampshire,109.0,1984,22037267,15111271
2010,116.0,1984,82272466,118709346
The River,122.0,1984,52889442,33790477
The Natural,137.0,1984,82272466,140897413
Supergirl,124.0,1984,102840583,42007257
The Ice Pirates,91.0,1984,26444721,41887853
American Ninja,95.0,1985,2817149,29579211
Rambo: First Blood Part II,96.0,1985,123954593,846273031
After Hours,97.0,1985,12677174,29888047
The Return of the Living Dead,91.0,1985,11268599,40107762
The Goonies,114.0,1985,53525847,173263781
The Purple Rose of Cairo,82.0,1985,42257247,29950058
Red Sonja,89.0,1985,50426982,19575340
Out of Africa,161.0,1985,87331645,362001515
Starchaser: The Legend of Orin,107.0,1985,42257247,9467877
The Black Cauldron,80.0,1985,70428746,59973435
Desert Hearts,96.0,1985,986002,6761159
The Jewel of the Nile,106.0,1985,70428746,272624605
Death Wish 3,92.0,1985,25354348,47737085
The Breakfast Club,97.0,1985,2817149,145154127
A Room with a View,117.0,1985,8451449,59066177
A Nightmare on Elm Street Part 2: Freddy's Revenge,87.0,1985,8451449,84512278
Explorers,109.0,1985,70428746,27813844
Rocky IV,91.0,1985,87331645,846479483
Re-Animator,86.0,1985,2535434,5700260
Year of the Dragon,134.0,1985,67611596,52701734
Ladyhawke,121.0,1985,56342996,51925705
Friday the 13th: A New Beginning,92.0,1985,6197729,61781273
Enemy Mine,108.0,1985,112685993,34660552
Return to Oz,109.0,1985,70428746,31376854
Santa Claus: The Movie,108.0,1985,140857492,66815162
The Last Dragon,108.0,1985,28171498,72553677
Runaway Train,111.0,1985,25354348,22356934
Fright Night,106.0,1985,25354348,70209676
King Solomon's Mines,100.0,1985,35214373,671121
Commando,90.0,1985,28171498,161986116
Fletch,98.0,1985,22537198,167938438
Into the Night,115.0,1985,32115508,18874903
Back to the Future,116.0,1985,53525847,1073643307
Clue,94.0,1985,42257247,41254333
Brewster's Millions,97.0,1985,56342996,129118800
Desperately Seeking Susan,104.0,1985,14085749,77189905
Legend,94.0,1985,70428746,43671772
Missing in Action 2: The Beginning,100.0,1985,6789331,30299705
乱,162.0,1985,32397223,11464822
A View to a Kill,131.0,1985,84514495,429412404
Subway,104.0,1985,5634299,1100544
Witness,113.0,1985,33805798,193557894
Mad Max Beyond Thunderdome,107.0,1985,34666502,102065955
Mishima: A Life in Four Chapters,121.0,1985,14085749,1416344
Bliss,112.0,1985,9578309,1860831
Day of the Dead,96.0,1985,9860024,95783094
Once Bitten,94.0,1985,9014879,28171498
Porky's Revenge,92.0,1985,25354348,57804830
My Beautiful Laundrette,97.0,1985,2422748,6906369
Just One of the Guys,100.0,1985,32397223,32478638
The Color Purple,154.0,1985,42257247,412126510
Pee-wee's Big Adventure,90.0,1985,16902899,115335979
Revolution,126.0,1985,78880195,1010156
Perfect,115.0,1985,53525847,36394358
Murphy's Romance,107.0,1985,36622948,86958443
Gymkata,90.0,1985,23945773,16143947
The Money Pit,91.0,1986,27206840,149636674
Native Son,111.0,1986,5441368,3539939
Little Shop of Horrors,94.0,1986,68017101,105422141
The Mission,126.0,1986,66656759,46844800
Blue Velvet,120.0,1986,16324104,23265189
Heartbreak Ridge,130.0,1986,40810261,116238552
The Wraith,93.0,1986,7345846,9522394
Highlander,116.0,1986,43530945,16052036
The Texas Chainsaw Massacre 2,101.0,1986,12787215,21835862
Hoosiers,114.0,1986,24486156,77832034
Labyrinth,101.0,1986,68017101,34634082
Down and Out in Beverly Hills,103.0,1986,38089577,169047596
Big Trouble in Little China,99.0,1986,68017101,29927524
An American Tail,80.0,1986,24486156,230012078
Band of the Hand,109.0,1986,23669951,13238609
From Beyond,86.0,1986,12243078,3430782
Crocodile Dundee,97.0,1986,13603420,892938051
Troll,82.0,1986,2992752,14829945
The Clan of the Cave Bear,98.0,1986,40810261,5316216
Lucas,108.0,1986,16324104,22309609
The Fly,96.0,1986,40810261,164952787
Shanghai Surprise,97.0,1986,46251629,6300241
The Great Mouse Detective,74.0,1986,38089577,105087918
Manhunter,119.0,1986,40810261,23454824
King Kong Lives,105.0,1986,27206840,12817741
Vamp,93.0,1986,5169299,13034596
Star Trek IV: The Voyage Home,119.0,1986,65296417,361850981
The Color of Money,119.0,1986,37545440,142275403
Maximum Overdrive,97.0,1986,27206840,20224648
Howard the Duck,110.0,1986,100665310,103284714
Friday the 13th Part VI: Jason Lives,86.0,1986,8162052,52977315
Critters,82.0,1986,5441368,35823878
Ferris Bueller's Day Off,103.0,1986,16324104,190818901
Pirates,124.0,1986,108827362,4466887
The Manhattan Project,118.0,1986,48972313,10610667
Top Gun,110.0,1986,40810261,970823332
Peggy Sue Got Married,103.0,1986,48972313,112589636
The Golden Child,94.0,1986,68017101,217159395
Solarbabies,94.0,1986,68017101,4296667
"The Karate Kid, Part II",113.0,1986,307,313161562
Invaders from Mars,100.0,1986,32648208,13289624
Poltergeist II: The Other Side,91.0,1986,51692997,111538973
Hannah and Her Sisters,107.0,1986,17412378,109056011
Club Paradise,96.0,1986,40810261,33487597
Aliens,137.0,1986,50332655,498746159
Armed and Dangerous,88.0,1986,32648208,43382760
At Close Range,111.0,1986,17684446,6385445
Wise Guys,100.0,1986,35368892,23059065
Sid & Nancy,111.0,1986,10882736,7690076
SpaceCamp,107.0,1986,48972313,26384484
Raw Deal,106.0,1986,23125814,44100816
The Hitcher,97.0,1986,16324104,15902039
The Transformers: The Movie,84.0,1986,16324104,15915041
Stand by Me,89.0,1986,21765472,142257534
Nine 1/2 Weeks,117.0,1986,46251629,18326315
The Name of the Rose,130.0,1986,54413681,210036810
Platoon,120.0,1986,16324104,376897901
The Lost Boys,97.0,1987,22695051,86034449
Cherry 2000,99.0,1987,26700060,37380
Overboard,106.0,1987,5019627,71324371
Masters of the Universe,106.0,1987,58740133,46288213
Mannequin,89.0,1987,16020036,114065853
Hellraiser,94.0,1987,2670006,38886040
Nadine,83.0,1987,32040072,15138483
Mio min Mio,99.0,1987,19224043,6141013
Throw Momma from the Train,88.0,1987,37380085,154635997
The Running Man,101.0,1987,72090164,101786252
Fatal Attraction,119.0,1987,37380085,854790947
From a Whisper to a Scream,99.0,1987,2937006,3738008
Blind Date,95.0,1987,48060109,104989218
Full Metal Jacket,116.0,1987,45390103,123775276
Can't Buy Me Love,94.0,1987,4806010,84435826
The Princess Bride,98.0,1987,42720097,82390551
The Last Emperor,163.0,1987,61410139,117438161
Tough Guys Don't Dance,110.0,1987,13350030,2291532
Beverly Hills Cop II,100.0,1987,53400121,800908470
Barfly,100.0,1987,8010018,8601606
Evil Dead II,84.0,1987,9612021,15814563
Matewan,132.0,1987,10680024,4486566
Der Himmel über Berlin,128.0,1987,6675015,8544019
Raising Arizona,94.0,1987,16020036,77911525
Wall Street,126.0,1987,40050091,117074610
The Untouchables,119.0,1987,66750152,203642576
Predator,107.0,1987,48060109,262289510
A Nightmare on Elm Street 3: Dream Warriors,96.0,1987,13350030,119598175
Less Than Zero,98.0,1987,2,33098418
Someone to Watch Over Me,106.0,1987,45390103,27443788
Ishtar,107.0,1987,146850334,38381820
Broadcast News,133.0,1987,53400121,136836220
The Pick-up Artist,81.0,1987,40050091,35485363
Spaceballs,96.0,1987,60609138,101779251
Angel Heart,113.0,1987,45390103,45885741
The Secret of My Success,111.0,1987,32040072,296362342
Dirty Dancing,100.0,1987,16020036,571259212
Dragnet,106.0,1987,53400121,178018693
Superman IV: The Quest for Peace,90.0,1987,45390103,51531117
Project X,108.0,1987,48060109,49481316
Pinocchio and the Emperor of the Night,83.0,1987,21360048,8708593
"Silent Night, Deadly Night Part 2",88.0,1987,667501,412043
Over the Top,93.0,1987,66750152,42873836
Gaby: A True Story,110.0,1987,13350030,334818
No Way Out,114.0,1987,40050091,94810621
Prince of Darkness,101.0,1987,8010018,37867339
La Bamba,108.0,1987,17355039,144755490
A Prayer for the Dying,107.0,1987,16020036,3825283
Jaws: The Revenge,89.0,1987,61410139,138522620
Walker,94.0,1987,15486035,686306
Empire of the Sun,153.0,1987,93450212,59377453
Ernest Goes to Camp,92.0,1987,8010018,62770192
The Living Daylights,130.0,1987,106800243,510467507
Nuts,116.0,1987,66750152,82636693
"Good Morning, Vietnam",121.0,1987,34710079,330873481
The Monster Squad,82.0,1987,32040072,10065896
Lethal Weapon,110.0,1987,40050091,320953760
Creepshow 2,92.0,1987,9345021,37380085
RoboCop,102.0,1987,34710079,141510322
Poltergeist III,98.0,1988,27044018,36429581
The Unbearable Lightness of Being,171.0,1988,43785554,25773737
A Fish Called Wanda,108.0,1988,19317156,160960106
A Nightmare on Elm Street 4: The Dream Master,99.0,1988,18029345,186732510
Rain Man,133.0,1988,64390520,1063216278
Willow,126.0,1988,90146729,147505452
Beetlejuice,92.0,1988,38634312,188861688
Not of This Earth,81.0,1988,540880,276498
The Last Temptation of Christ,164.0,1988,18029345,21567179
Vampire's Kiss,103.0,1988,5151241,1867662
Red Scorpion,105.0,1988,41209933,10798135
Oliver & Company,74.0,1988,79844245,190985751
Die Hard,131.0,1988,72117383,362564879
Halloween 4: The Return of Michael Myers,88.0,1988,12878104,45765580
アキラ,124.0,1988,20604966,1424758
Night of the Demons,90.0,1988,3090744,8009933
The Kiss,101.0,1988,15453724,4814216
The New Adventures of Pippi Longstocking,100.0,1988,12878104,9194809
Friday the 13th Part VII: The New Blood,88.0,1988,7211738,49374653
They Live,94.0,1988,10302483,33506065
The Dead Pool,91.0,1988,51512416,97624516
Red Heat,104.0,1988,74693004,90132944
Off Limits,102.0,1988,30907449,18652736
Permanent Record,91.0,1988,20604966,4876008
Married to the Mob,104.0,1988,25756208,55341738
The Serpent and the Rainbow,98.0,1988,18029345,50469369
Sunset,102.0,1988,41209933,11833566
Return of the Living Dead Part II,89.0,1988,15968849,23710969
License to Drive,90.0,1988,20604966,57779610
Frantic,120.0,1988,51512416,45428671
My Stepmother is an Alien,108.0,1988,51512416,35682650
Young Guns,107.0,1988,33483070,115198875
The Land Before Time,69.0,1988,31680136,217539114
The Lair of the White Worm,93.0,1988,6439052,3063224
Hot to Trot,88.0,1988,23180587,16577239
The Great Outdoors,91.0,1988,61814899,111924195
Ernest Saves Christmas,95.0,1988,15453724,72637939
Twins,107.0,1988,38634312,557916529
Cocoon: The Return,116.0,1988,45073364,64454702
Powaqqatsi,99.0,1988,6439052,1517669
Critters 2,86.0,1988,11590293,9821596
Action Jackson,96.0,1988,18029345,52174286
Betrayed,127.0,1988,48936795,66492585
Felix The Cat: The Movie,82.0,1988,23180587,5059170
Vibes,99.0,1988,4852469,4851982
Bull Durham,108.0,1988,18029345,131068192
Cameron's Closet,87.0,1988,18029345,350807
Maniac Cop,85.0,1988,2833182,1729225
Mississippi Burning,128.0,1988,38634312,89126783
The Boost,95.0,1988,20604966,2021836
Midnight Run,126.0,1988,77268624,98938883
Monkey Shines,113.0,1988,18029345,13765603
Colors,120.0,1988,15453724,120065313
Coming to America,116.0,1988,100449212,743716440
Working Girl,114.0,1988,72117383,265736163
Dangerous Liaisons,119.0,1988,36058691,89298628
A Cry in the Dark,120.0,1988,38634312,17794441
Who Framed Roger Rabbit,104.0,1988,180293458,849449943
Talk Radio,110.0,1988,10302483,8933726
Hellbound: Hellraiser II,97.0,1988,7726862,31141148
Bulletproof,94.0,1988,12878104,2080965
Alien Nation,91.0,1988,41209933,82819208
Pumpkinhead,86.0,1988,9014672,11295426
Big,104.0,1988,46361174,390641253
The Naked Gun: From the Files of Police Squad!,85.0,1988,30907449,202846049
Child's Play,87.0,1988,23180587,113833899
Mujeres al borde de un ataque de nervios,88.0,1988,1802934,18491149
Cocktail,104.0,1988,51512416,441731286
Dead Ringers,115.0,1988,33483070,20704148
The Blob,95.0,1988,48936795,21243573
